tau,tau_true,category,TP,FP,FN,TN,N,removed,kept,Precision,Recall,TPR,TNR,FPR,FNR,sample_fp_share_all,sample_fp_share_removed,sample_fn_share_all,sample_fn_share_kept,severity_index_fp,severity_index_fp_t1,severity_ratio_fp,volume_scenario,posts_per_day,days_in_period,n_period_posts,s_fp,loss_share_fp_raw,fp_total_cost_period_raw,fp_total_cost_period,loss_share_fp,fp_denominator_posts_period,eur_per_fp,fp_total_cost_sample
0.3,0.5,META3_ANY,6089,14248,2032,77631,100000,20337,79663,0.2994050253233024,0.7497845092968847,0.7497845092968847,0.8449264793913734,0.15507352060862656,0.2502154907031154,0.14248,0.7005949746766976,0.02032,0.025507450133688162,0.39999999999920005,0.39999999999920005,1.0,low,1260900000.0,181,228222900000.0,0.06,0.06,4826504481.434058,4826504481.434058,0.05999999999999999,32517198792.0,0.14842928237168734,2114.8204152318012
0.29,0.5,META3_ANY,6089,14248,2032,77631,100000,20337,79663,0.2994050253233024,0.7497845092968847,0.7497845092968847,0.8449264793913734,0.15507352060862656,0.2502154907031154,0.14248,0.7005949746766976,0.02032,0.025507450133688162,0.41999999999916005,0.39999999999920005,1.05,low,1260900000.0,181,228222900000.0,0.06,0.063,5067829705.505762,5067829705.505762,0.063,32517198792.0,0.15585074649027172,2220.5614359933916
0.28,0.5,META3_ANY,6139,14528,1982,77351,100000,20667,79333,0.2970435960710311,0.7559413865287526,0.7559413865287526,0.8418789930234329,0.158121006976567,0.24405861347124738,0.14528,0.7029564039289689,0.01982,0.024983298249152307,0.43999999999912,0.39999999999920005,1.0999999999999999,low,1260900000.0,181,228222900000.0,0.06,0.06599999999999999,5309154929.577464,5309154929.577464,0.06599999999999999,33156222912.0,0.16012544443522722,2326.302456754981
0.27,0.5,META3_ANY,6139,14528,1982,77351,100000,20667,79333,0.2970435960710311,0.7559413865287526,0.7559413865287526,0.8418789930234329,0.158121006976567,0.24405861347124738,0.14528,0.7029564039289689,0.01982,0.024983298249152307,0.45999999999908,0.39999999999920005,1.1499999999999997,low,1260900000.0,181,228222900000.0,0.06,0.06899999999999998,5550480153.649166,5550480153.649166,0.06899999999999998,33156222912.0,0.16740387372773755,2432.043477516571
0.26,0.5,META3_ANY,6139,14531,1982,77348,100000,20670,79330,0.29700048379293664,0.7559413865287526,0.7559413865287526,0.8418463413837765,0.15815365861622352,0.24405861347124738,0.14531,0.7029995162070634,0.01982,0.024984243035421655,0.47999999999904003,0.39999999999920005,1.2,low,1260900000.0,181,228222900000.0,0.06,0.072,5791805377.72087,5791805377.72087,0.072,33163069599.0,0.1746462389565867,2537.7844982781617
0.25,0.5,META3_ANY,6303,15638,1818,76241,100000,21941,78059,0.2872704070005925,0.7761359438492796,0.7761359438492796,0.8297978863505262,0.17020211364947377,0.22386405615072036,0.15638,0.7127295929994075,0.01818,0.023290075455745015,0.499999999999,0.39999999999920005,1.25,low,1260900000.0,181,228222900000.0,0.06,0.075,6033130601.792573,6033130601.792573,0.075,35689497102.0,0.1690449877887039,2643.5255190397515
0.24,0.5,META3_ANY,6305,15692,1816,76187,100000,21997,78003,0.28662999499931807,0.7763822189385544,0.7763822189385544,0.8292101568367092,0.17078984316329085,0.22361778106144564,0.15692,0.7133700050006819,0.01816,0.023281155852980014,0.5199999999989601,0.39999999999920005,1.3,low,1260900000.0,181,228222900000.0,0.06,0.078,6274455825.864277,6274455825.864277,0.078,35812737468.0,0.17520179325779645,2749.266539801342
0.23,0.5,META3_ANY,6305,15693,1816,76186,100000,21998,78002,0.2866169651786526,0.7763822189385544,0.7763822189385544,0.8291992729568236,0.17080072704317636,0.22361778106144564,0.15693,0.7133830348213474,0.01816,0.023281454321684058,0.53999999999892,0.39999999999920005,1.3499999999999999,low,1260900000.0,181,228222900000.0,0.06,0.08099999999999999,6515781049.935979,6515781049.935979,0.08099999999999999,35815019696.99999,0.18192873004288104,2855.007560562932
0.22,0.5,META3_ANY,6307,15699,1814,76180,100000,22006,77994,0.28660365354903206,0.7766284940278291,0.7766284940278291,0.8291339696775106,0.17086603032248937,0.22337150597217093,0.15699,0.7133963464509679,0.01814,0.023258199348667845,0.5599999999988801,0.39999999999920005,1.4,low,1260900000.0,181,228222900000.0,0.06,0.08399999999999999,6757106274.007682,6757106274.007682,0.08399999999999999,35828713071.0,0.18859472458911533,2960.7485813245216
0.21,0.5,META3_ANY,6307,15699,1814,76180,100000,22006,77994,0.28660365354903206,0.7766284940278291,0.7766284940278291,0.8291339696775106,0.17086603032248937,0.22337150597217093,0.15699,0.7133963464509679,0.01814,0.023258199348667845,0.5799999999988401,0.39999999999920005,1.4500000000000002,low,1260900000.0,181,228222900000.0,0.06,0.08700000000000001,6998431498.079386,6998431498.079386,0.08700000000000001,35828713071.0,0.19533025046729804,3066.489602086112
0.2,0.5,META3_ANY,6404,16535,1717,75344,100000,22939,77061,0.2791752038013863,0.788572835857653,0.788572835857653,0.8200350460932313,0.1799649539067687,0.211427164142347,0.16535,0.7208247961986137,0.01717,0.02228105007721156,0.5999999999988,0.39999999999920005,1.5,low,1260900000.0,181,228222900000.0,0.06,0.09,7239756722.151088,7239756722.151088,0.09,37736656515.0,0.19184944801014223,3172.230622847702
0.19,0.5,META3_ANY,6758,19803,1363,72076,100000,26561,73439,0.25443319152140353,0.8321635266592784,0.8321635266592784,0.7844665266274121,0.21553347337258785,0.16783647334072158,0.19803,0.7455668084785965,0.01363,0.01855962090987078,0.61999999999876,0.39999999999920005,1.5499999999999998,low,1260900000.0,181,228222900000.0,0.06,0.09299999999999999,7481081946.22279,7481081946.22279,0.09299999999999999,45194980887.0,0.1655290432565415,3277.9716436092913
0.18,0.5,META3_ANY,6771,20219,1350,71660,100000,26990,73010,0.25087069284920344,0.8337643147395641,0.8337643147395641,0.7799388325950435,0.22006116740495651,0.16623568526043592,0.20219,0.7491293071507966,0.0135,0.018490617723599508,0.63999999999872,0.39999999999920005,1.5999999999999999,low,1260900000.0,181,228222900000.0,0.06,0.09599999999999999,7722407170.294493,7722407170.294493,0.09599999999999999,46144388151.0,0.16735311659186317,3383.712664370881
0.17,0.5,META3_ANY,6772,20223,1349,71656,100000,26995,73005,0.2508612706056677,0.8338874522842015,0.8338874522842015,0.7798952970755014,0.22010470292449852,0.16611254771579856,0.20223,0.7491387293943322,0.01349,0.018478186425587288,0.65999999999868,0.39999999999920005,1.6499999999999997,low,1260900000.0,181,228222900000.0,0.06,0.09899999999999998,7963732394.366196,7963732394.366196,0.09899999999999998,46153517067.0,0.1725487655210637,3489.4536851324715
0.16,0.5,META3_ANY,6772,20230,1349,71649,100000,27002,72998,0.2507962373157544,0.8338874522842015,0.8338874522842015,0.779819109916303,0.22018089008369704,0.16611254771579856,0.2023,0.7492037626842456,0.01349,0.018479958355023425,0.6799999999986399,0.39999999999920005,1.6999999999999995,low,1260900000.0,181,228222900000.0,0.06,0.10199999999999997,8205057618.437898,8205057618.437898,0.10199999999999997,46169492670.0,0.17771600127998327,3595.1947058940614
0.15,0.5,META3_ANY,6791,20429,1330,71450,100000,27220,72780,0.24948567229977958,0.8362270656323113,0.8362270656323113,0.7776532178190881,0.22234678218091186,0.16377293436768872,0.20429,0.7505143277002204,0.0133,0.01827425116790327,0.6999999999986,0.39999999999920005,1.7499999999999998,low,1260900000.0,181,228222900000.0,0.06,0.10499999999999998,8446382842.509602,8446382842.509602,0.10499999999999998,46623656241.0,0.18116088534219257,3700.935726655652
0.14,0.5,META3_ANY,7145,24387,976,67492,100000,31532,68468,0.2265952048712419,0.8798177564339367,0.8798177564339367,0.7345748212322729,0.26542517876772714,0.12018224356606329,0.24387,0.773404795128758,0.00976,0.014254834375182567,0.71999999999856,0.39999999999920005,1.7999999999999998,low,1260900000.0,181,228222900000.0,0.06,0.10799999999999998,8687708066.581305,8687708066.581305,0.10799999999999998,55656718623.0,0.15609450721356632,3806.676747417242
0.13,0.5,META3_ANY,7145,24394,976,67485,100000,31539,68461,0.22654491264783283,0.8798177564339367,0.8798177564339367,0.7344986340730744,0.26550136592692564,0.12018224356606329,0.24394,0.7734550873521672,0.00976,0.014256291903419465,0.7399999999985201,0.39999999999920005,1.8499999999999999,low,1260900000.0,181,228222900000.0,0.06,0.11099999999999999,8929033290.653008,8929033290.653008,0.11099999999999999,55672694226.0,0.16038442929322094,3912.4177681788315
0.12,0.5,META3_ANY,7164,24914,957,66965,100000,32078,67922,0.2233306315855103,0.8821573697820465,0.8821573697820465,0.7288390165326135,0.27116098346738643,0.11784263021795345,0.24914,0.7766693684144896,0.00957,0.01408969111628044,0.75999999999848,0.39999999999920005,1.8999999999999997,low,1260900000.0,181,228222900000.0,0.06,0.11399999999999998,9170358514.72471,9170358514.72471,0.11399999999999999,56859453306.0,0.1612811587436952,4018.1587889404223
0.11,0.5,META3_ANY,7172,25083,949,66796,100000,32255,67745,0.22235312354673695,0.8831424701391454,0.8831424701391454,0.7269996408319638,0.2730003591680362,0.11685752986085457,0.25083,0.777646876453263,0.00949,0.014008413905085245,0.77999999999844,0.39999999999920005,1.95,low,1260900000.0,181,228222900000.0,0.06,0.11699999999999999,9411683738.796413,9411683738.796413,0.11699999999999998,57245150007.0,0.164410150687797,4123.899809702012
0.1,0.5,META3_ANY,7250,26628,871,65251,100000,33878,66122,0.21400318790955783,0.8927471986208595,0.8927471986208595,0.7101840464088638,0.28981595359113616,0.1072528013791405,0.26628,0.7859968120904421,0.00871,0.013172620307915672,0.7999999999984001,0.39999999999920005,2.0,low,1260900000.0,181,228222900000.0,0.06,0.12,9653008962.868116,9653008962.868116,0.11999999999999998,60771193812.0,0.15884185182753502,4229.6408304636025
0.09,0.5,META3_ANY,7251,26690,870,65189,100000,33941,66059,0.21363542618072537,0.8928703361654968,0.8928703361654968,0.7095092458559628,0.29049075414403724,0.10712966383450313,0.2669,0.7863645738192746,0.0087,0.013170044959808657,0.8199999999983602,0.39999999999920005,2.0500000000000003,low,1260900000.0,181,228222900000.0,0.06,0.12300000000000001,9894334186.939821,9894334186.939821,0.12300000000000001,60912692010.00001,0.1624346890680102,4335.381851225192
0.08,0.5,META3_ANY,7263,27101,858,64778,100000,34364,65636,0.21135490629728787,0.8943479867011451,0.8943479867011451,0.7050359712230215,0.2949640287769784,0.10565201329885482,0.27101,0.7886450937027122,0.00858,0.013072094582241452,0.83999999999832,0.39999999999920005,2.0999999999999996,low,1260900000.0,181,228222900000.0,0.06,0.12599999999999997,10135659411.011522,10135659411.011522,0.12599999999999997,61850688128.99999,0.16387302579191848,4441.122871986783
0.07,0.5,META3_ANY,7277,27522,844,64357,100000,34799,65201,0.20911520445989829,0.8960719123260682,0.8960719123260682,0.7004538577912254,0.29954614220877457,0.10392808767393179,0.27522,0.7908847955401017,0.00844,0.012944586739467186,0.85999999999828,0.39999999999920005,2.15,low,1260900000.0,181,228222900000.0,0.06,0.129,10376984635.083227,10376984635.083227,0.129,62811506538.0,0.16520833852003391,4546.8638927483735
0.06,0.5,META3_ANY,7277,27524,844,64355,100000,34801,65199,0.20910318669003763,0.8960719123260682,0.8960719123260682,0.7004320900314545,0.2995679099685456,0.10392808767393179,0.27524,0.7908968133099623,0.00844,0.012944983818770227,0.8799999999982401,0.39999999999920005,2.1999999999999997,low,1260900000.0,181,228222900000.0,0.06,0.13199999999999998,10618309859.154928,10618309859.154928,0.13199999999999998,62816070996.0,0.16903810905064534,4652.604913509962
0.05,0.5,META3_ANY,7424,30066,697,61813,100000,37490,62510,0.19802614030408108,0.9141731313877601,0.9141731313877601,0.6727652673625094,0.3272347326374906,0.08582686861223987,0.30066,0.801973859695919,0.00697,0.011150215965445529,0.8999999999982,0.39999999999920005,2.2499999999999996,low,1260900000.0,181,228222900000.0,0.06,0.13499999999999998,10859635083.226631,10859635083.226631,0.13499999999999998,68617497114.0,0.1582633517684944,4758.345934271552
