tau,posts_per_day,volume_scenario,scenario_s_fn,loss_share,eur_per_FN,FN,total_cost_eur,total_cost_period_eur
0.57,1260900000.0,low,0.075,0.006947069943289216,0.06462481456017975,3789,244.86342236852107,558834403.5686876
0.58,1260900000.0,low,0.075,0.009073724007561429,0.08438564983891744,3790,319.8216128894971,729906159.7631841
0.59,1260900000.0,low,0.075,0.011483931947069937,0.10680058807737992,3790,404.77422881326993,923787483.4502802
0.6,1260900000.0,low,0.075,0.014177693761814741,0.1315748473248656,3798,499.72127013983953,1140478374.6299758
0.61,1260900000.0,low,0.075,0.017155009451795843,0.15862086486600366,3812,604.6627368692059,1379978833.3022711
0.62,1260900000.0,low,0.075,0.020415879017013236,0.18877193835293002,3812,719.5986290013692,1642288859.467166
0.63,1260900000.0,low,0.075,0.023960302457466925,0.22084961991012791,3824,844.5289465363292,1927408453.12466
0.64,1260900000.0,low,0.075,0.027788279773156913,0.2556652804683075,3831,979.453689474086,2235337614.274754
0.65,1260900000.0,low,0.075,0.03189981096408319,0.2605127103370342,4316,1124.3728578146397,2566076342.917447
0.66,1260900000.0,low,0.075,0.03629489603024577,0.27810575033869356,4600,1279.2864515579904,2919624639.0527406
0.67,1260900000.0,low,0.075,0.04097353497164464,0.31395531971829077,4600,1444.1944707041375,3295982502.680633
0.68,1260900000.0,low,0.075,0.04593572778827981,0.3519775902724091,4600,1619.0969152530818,3695149933.8011255
0.69,1260900000.0,low,0.075,0.05118147448015121,0.3874557098807604,4656,1803.9937852048204,4117126932.414212
0.7,1260900000.0,low,0.075,0.056710775047258966,0.428945296257373,4660,1998.8850805593581,4561913498.519903
0.71,1260900000.0,low,0.075,0.06252362948960302,0.47281072759422715,4661,2203.7708013166925,5029509632.118195
0.72,1260900000.0,low,0.075,0.06862003780718337,0.5188011470349257,4662,2418.650947476824,5519915333.2090845
0.73,1260900000.0,low,0.075,0.075,0.5536179097465448,4775,2643.5255190397515,6033130601.792573
0.74,1260900000.0,low,0.075,0.08166351606805294,0.5861116913063484,4911,2878.3945160054773,6569155437.868664
0.75,1260900000.0,low,0.075,0.08861058601134217,0.6262799154549825,4987,3123.2579383739976,7127989841.437351
0.76,1260900000.0,low,0.075,0.0958412098298677,0.6773843565561092,4987,3378.1157861453166,7709633812.49864
0.77,1260900000.0,low,0.075,0.10335538752362952,0.7267041809933038,5013,3642.968059319432,8314087351.052528
0.78,1260900000.0,low,0.075,0.11115311909262765,0.7815309710545271,5013,3917.8147578963444,8941350457.099016
0.79,1260900000.0,low,0.075,0.11923440453686206,0.836682437164255,5023,4202.655881876053,9591423130.638103
0.8,1260900000.0,low,0.075,0.12759924385633276,0.8948450917744843,5026,4497.491431258558,10264305371.669788
0.81,1260900000.0,low,0.075,0.13624763705103976,0.8499683904502409,5650,4802.321406043861,10959997180.194075
0.82,1260900000.0,low,0.075,0.14517958412098295,0.8681957594557104,5894,5117.145806231957,11678498556.210953
0.83,1260900000.0,low,0.075,0.15439508506616256,0.9226796595155737,5898,5441.964631822854,12419809499.72044
0.84,1260900000.0,low,0.075,0.16389413988657844,0.9774581866017844,5910,5776.777882816546,13183930010.722523
0.85,1260900000.0,low,0.075,0.17367674858223062,1.0071710363956952,6078,6121.585559213036,13970860089.217207
0.86,1260900000.0,low,0.075,0.1837429111531191,1.059271779687982,6114,6476.3876610123225,14780599735.20449
0.87,1260900000.0,low,0.075,0.1940926275992439,1.1111229800575615,6157,6841.184188214406,15613148948.684376
0.88,1260900000.0,low,0.075,0.20472589792060497,1.1396044126372846,6332,7215.975140819286,16468507729.656858
0.89,1260900000.0,low,0.075,0.2156427221172023,1.1128492706920883,6830,7600.760518826963,17346676078.12194
