tau,TP,FP,FN,TN,FNR,FPR,exposure_index,rev_index_linear,rev_index_exp,severity_s
0.65,3805,4733,4316,87146,0.5314616426548454,0.051513403498078994,1.36539069914584,0.63460930085416,0.6025774550191701,0.6521739130434784
0.66,3521,4111,4600,87768,0.5664327053318556,0.04474363020929701,1.4552356849098387,0.5447643150901613,0.5320112395068641,0.6956521739130437
0.67,3521,4111,4600,87768,0.5664327053318556,0.04474363020929701,1.4552356849098387,0.5447643150901613,0.5320112395068641,0.739130434782609
0.68,3521,4111,4600,87768,0.5664327053318556,0.04474363020929701,1.4552356849098387,0.5447643150901613,0.5320112395068641,0.7826086956521742
0.69,3465,3996,4656,87883,0.5733284078315478,0.043491984022464326,1.4729515975956975,0.5270484024043025,0.519104466002309,0.8260869565217389
0.7,3461,3990,4660,87889,0.5738209580100972,0.04342668074315132,1.4742170199304017,0.5257829800695983,0.5181946263858593,0.8695652173913042
0.71,3460,3989,4661,87890,0.5739440955547347,0.04341579686326582,1.474533375514078,0.5254666244859221,0.5179674157605489,0.9130434782608695
0.72,3459,3989,4662,87890,0.574067233099372,0.04341579686326582,1.474849731097754,0.525150268902246,0.5177403047593291,0.9565217391304347
0.73,3346,3776,4775,88103,0.5879817756433937,0.04109753044765398,1.5105979120531476,0.48940208794685236,0.49270778627517986,1.0
0.74,3210,3493,4911,88386,0.6047284817140747,0.03801739244005703,1.5536222714330907,0.44637772856690927,0.46417973907015647,1.0
0.75,3134,3372,4987,88507,0.614086935106514,0.03670044297391134,1.5776652957924708,0.42233470420752917,0.4489632953319298,1.0
0.76,3134,3372,4987,88507,0.614086935106514,0.03670044297391134,1.5776652957924708,0.42233470420752917,0.4489632953319298,1.0
0.77,3108,3295,5013,88584,0.6172885112670853,0.035862384222727715,1.5858905409680482,0.41410945903195184,0.44387301789898836,1.0
0.78,3108,3295,5013,88584,0.6172885112670853,0.035862384222727715,1.5858905409680482,0.41410945903195184,0.44387301789898836,1.0
0.79,3098,3258,5023,88621,0.6185198867134589,0.03545968066696416,1.5890540968048086,0.4109459031951914,0.44193062210180944,1.0
0.8,3095,3237,5026,88642,0.618889299347371,0.03523111918936862,1.5900031635558367,0.4099968364441633,0.44134956254978336,1.0
0.81,2471,2212,5650,89667,0.6957271272010837,0.024075142306729504,1.7874090477696931,0.21259095223030688,0.3356854484516263,1.0
0.82,2227,1890,5894,89989,0.7257726880925994,0.020570532983597994,1.8645998101866499,0.1354001898133501,0.3016192431044163,1.0
0.83,2223,1884,5898,89995,0.7262652382711489,0.020505229704284984,1.865865232521354,0.13413476747864594,0.30109059202465704,1.0
0.84,2211,1858,5910,90021,0.7277428888067972,0.02022224882726194,1.8696614995254666,0.13033850047453344,0.2995101917245512,1.0
0.85,2043,1646,6078,90233,0.7484299963058737,0.017914866291535606,1.9228092375830435,0.07719076241695655,0.2782361007512182,1.0
0.86,2007,1579,6114,90300,0.7528629479128186,0.017185646339207,1.9341980385953812,0.0658019614046188,0.27387774095265277,1.0
0.87,1964,1521,6157,90358,0.758157862332225,0.01655438130584791,1.9478013286934515,0.05219867130654854,0.26876130442996427,1.0
0.88,1789,1328,6332,90551,0.7797069326437631,0.014453792487946104,2.0031635558367604,0.0,0.24890599579223524,1.0
0.89,1291,851,6830,91028,0.8410294298731683,0.009262181782561848,2.1607086365074344,0.0,0.20007082748650945,1.0
0.9,883,531,7238,91348,0.8912695480852112,0.005779340219201341,2.2897817146472637,0.0,0.167291560412766,1.0
0.91,881,528,7240,91351,0.8915158231744859,0.005746688579544836,2.2904144258146157,0.0,0.16714488931669233,1.0
0.92,876,525,7245,91354,0.8921315108976727,0.005714036939888332,2.291996203732996,0.0,0.16677877392132676,1.0
0.93,858,511,7263,91368,0.8943479867011451,0.005561662621491309,2.2976906042391647,0.0,0.1654673859824046,1.0
0.94,742,417,7379,91462,0.9086319418790789,0.0045385779122541605,2.334387851945587,0.0,0.15726006883581767,1.0
0.95,696,388,7425,91491,0.9142962689323975,0.004222945395574614,2.3489402087946853,0.0,0.15411931482780705,1.0
0.96,673,380,7448,91499,0.9171284324590567,0.004135874356490602,2.3562163872192343,0.0,0.15257253906003623,1.0
0.97,602,332,7519,91547,0.9258711981283093,0.003613448121986526,2.378677633660234,0.0,0.14789495372627084,1.0
0.98,193,80,7928,91799,0.9762344538849895,0.0008707103908401267,2.5080670673837395,0.0,0.12360987136874656,1.0
0.99,40,5,8081,91874,0.9950744982145056,5.4419399427507917e-05,2.5564694716861753,0.0,0.11558780147855181,1.0
