tau_true,category,tau_pred,TP,FP,TN,FN,Precision,Recall,TPR,FPR,prevalence
0.5,BULLYING_HARASSMENT,0.68,3330,3756,88182,4732,0.46994072819644367,0.4130488712478293,0.4130488712478293,0.04085361874306598,0.08062
0.5,BULLYING_HARASSMENT,0.69,3290,3693,88245,4772,0.4711442073607332,0.4080873232448524,0.4080873232448524,0.04016837433922861,0.08062
0.5,BULLYING_HARASSMENT,0.7,3290,3693,88245,4772,0.4711442073607332,0.4080873232448524,0.4080873232448524,0.04016837433922861,0.08062
0.5,BULLYING_HARASSMENT,0.71,3290,3693,88245,4772,0.4711442073607332,0.4080873232448524,0.4080873232448524,0.04016837433922861,0.08062
0.5,BULLYING_HARASSMENT,0.72,3290,3693,88245,4772,0.4711442073607332,0.4080873232448524,0.4080873232448524,0.04016837433922861,0.08062
0.5,BULLYING_HARASSMENT,0.73,3177,3474,88464,4885,0.4776725304465494,0.39407095013644255,0.39407095013644255,0.03778633426874633,0.08062
0.5,BULLYING_HARASSMENT,0.74,3035,3207,88731,5027,0.4862223646267222,0.3764574547258745,0.3764574547258745,0.034882203223911765,0.08062
0.5,BULLYING_HARASSMENT,0.75,2957,3087,88851,5105,0.48924553275976174,0.36678243612006944,0.36678243612006944,0.033576975788031066,0.08062
0.5,BULLYING_HARASSMENT,0.76,2957,3087,88851,5105,0.48924553275976174,0.36678243612006944,0.36678243612006944,0.033576975788031066,0.08062
0.5,BULLYING_HARASSMENT,0.77,2957,3086,88852,5105,0.4893264934635115,0.36678243612006944,0.36678243612006944,0.03356609889273206,0.08062
0.5,BULLYING_HARASSMENT,0.78,2957,3086,88852,5105,0.4893264934635115,0.36678243612006944,0.36678243612006944,0.03356609889273206,0.08062
0.5,BULLYING_HARASSMENT,0.79,2952,3078,88860,5110,0.48955223880597015,0.3661622426196973,0.3661622426196973,0.03347908373034001,0.08062
0.5,BULLYING_HARASSMENT,0.8,2949,3058,88880,5113,0.49092725153987016,0.36579012651947407,0.36579012651947407,0.033261545824359896,0.08062
0.5,BULLYING_HARASSMENT,0.81,2309,2022,89916,5753,0.5331332255830062,0.28640535847184323,0.28640535847184323,0.021993082294589832,0.08062
0.5,BULLYING_HARASSMENT,0.82,2070,1714,90224,5992,0.5470401691331924,0.25676010915405606,0.25676010915405606,0.01864299854249603,0.08062
0.5,BULLYING_HARASSMENT,0.83,2066,1708,90230,5996,0.5474297827239004,0.25626395435375837,0.25626395435375837,0.018577737170701995,0.08062
0.5,BULLYING_HARASSMENT,0.84,2066,1707,90231,5996,0.5475748741054863,0.25626395435375837,0.25626395435375837,0.01856686027540299,0.08062
0.5,BULLYING_HARASSMENT,0.85,1907,1511,90427,6155,0.5579286132241077,0.23654180104192507,0.23654180104192507,0.01643498879679784,0.08062
0.5,BULLYING_HARASSMENT,0.86,1906,1511,90427,6156,0.5577992390986245,0.23641776234185066,0.23641776234185066,0.01643498879679784,0.08062
0.5,BULLYING_HARASSMENT,0.87,1878,1480,90458,6184,0.559261465157832,0.23294467873976682,0.23294467873976682,0.01609780504252866,0.08062
0.5,BULLYING_HARASSMENT,0.88,1703,1282,90656,6359,0.5705192629815745,0.21123790622674274,0.21123790622674274,0.013944179773325502,0.08062
0.5,BULLYING_HARASSMENT,0.89,1198,801,91137,6864,0.5992996498249125,0.14859836268915902,0.14859836268915902,0.008712393134503687,0.08062
0.5,BULLYING_HARASSMENT,0.9,787,483,91455,7275,0.6196850393700788,0.09761845695857108,0.09761845695857108,0.005253540429419826,0.08062
0.5,BULLYING_HARASSMENT,0.91,785,480,91458,7277,0.6205533596837944,0.09737037955842223,0.09737037955842223,0.0052209097435228086,0.08062
0.5,BULLYING_HARASSMENT,0.92,780,479,91459,7282,0.6195393169181891,0.09675018605805011,0.09675018605805011,0.005210032848223803,0.08062
0.5,BULLYING_HARASSMENT,0.93,776,475,91463,7286,0.6203037569944044,0.09625403125775242,0.09625403125775242,0.005166525267027779,0.08062
0.5,BULLYING_HARASSMENT,0.94,673,388,91550,7389,0.6343072573044298,0.08347804515008683,0.08347804515008683,0.00422023537601427,0.08062
0.5,BULLYING_HARASSMENT,0.95,671,385,91553,7391,0.6354166666666666,0.08322996774993797,0.08322996774993797,0.0041876046901172526,0.08062
0.5,BULLYING_HARASSMENT,0.96,668,383,91555,7394,0.6355851569933397,0.08285785164971471,0.08285785164971471,0.004165850899519241,0.08062
0.5,BULLYING_HARASSMENT,0.97,597,335,91603,7465,0.6405579399141631,0.07405110394443067,0.07405110394443067,0.0036437599251669603,0.08062
0.5,BULLYING_HARASSMENT,0.98,185,81,91857,7877,0.6954887218045113,0.022947159513768297,0.022947159513768297,0.000881028519219474,0.08062
0.5,BULLYING_HARASSMENT,0.99,0,0,91938,8062,,0.0,0.0,0.0,0.08062
0.5,BULLYING_HARASSMENT,1.0,0,0,91938,8062,,0.0,0.0,0.0,0.08062
0.5,HATEFUL_CONDUCT,0.0,747,99253,0,0,0.00747,1.0,1.0,1.0,0.00747
0.5,HATEFUL_CONDUCT,0.01,659,19627,79626,88,0.03248545795129646,0.8821954484605087,0.8821954484605087,0.1977471713701349,0.00747
0.5,HATEFUL_CONDUCT,0.02,627,16261,82992,120,0.03712695405021317,0.8393574297188755,0.8393574297188755,0.16383383877565413,0.00747
0.5,HATEFUL_CONDUCT,0.03,587,12333,86920,160,0.04543343653250774,0.785809906291834,0.785809906291834,0.12425820881988454,0.00747
0.5,HATEFUL_CONDUCT,0.04,562,10476,88777,185,0.05091502083710817,0.7523427041499331,0.7523427041499331,0.10554844689833053,0.00747
0.5,HATEFUL_CONDUCT,0.05,519,8189,91064,228,0.05960036747818098,0.6947791164658634,0.6947791164658634,0.08250632222703595,0.00747
0.5,HATEFUL_CONDUCT,0.06,519,8187,91066,228,0.05961405926946933,0.6947791164658634,0.6947791164658634,0.08248617170261856,0.00747
0.5,HATEFUL_CONDUCT,0.07,506,7799,91454,241,0.060927152317880796,0.677376171352075,0.677376171352075,0.07857696996564335,0.00747
0.5,HATEFUL_CONDUCT,0.08,506,7791,91462,241,0.06098589851753646,0.677376171352075,0.677376171352075,0.07849636786797376,0.00747
0.5,HATEFUL_CONDUCT,0.09,468,6509,92744,279,0.06707754049018202,0.6265060240963856,0.6265060240963856,0.06557988171642166,0.00747
0.5,HATEFUL_CONDUCT,0.1,468,6497,92756,279,0.06719310839913854,0.6265060240963856,0.6265060240963856,0.06545897856991728,0.00747
0.5,HATEFUL_CONDUCT,0.11,426,5088,94165,321,0.07725788900979326,0.570281124497992,0.570281124497992,0.05126293411786042,0.00747
0.5,HATEFUL_CONDUCT,0.12,426,5083,94170,321,0.07732800871301507,0.570281124497992,0.570281124497992,0.051212557806816925,0.00747
0.5,HATEFUL_CONDUCT,0.13,394,4374,94879,353,0.08263422818791946,0.5274431057563588,0.5274431057563588,0.044069196900849344,0.00747
0.5,HATEFUL_CONDUCT,0.14,394,4374,94879,353,0.08263422818791946,0.5274431057563588,0.5274431057563588,0.044069196900849344,0.00747
0.5,HATEFUL_CONDUCT,0.15,394,4374,94879,353,0.08263422818791946,0.5274431057563588,0.5274431057563588,0.044069196900849344,0.00747
0.5,HATEFUL_CONDUCT,0.16,394,4373,94880,353,0.08265156282777428,0.5274431057563588,0.5274431057563588,0.04405912163864065,0.00747
0.5,HATEFUL_CONDUCT,0.17,394,4373,94880,353,0.08265156282777428,0.5274431057563588,0.5274431057563588,0.04405912163864065,0.00747
0.5,HATEFUL_CONDUCT,0.18,394,4373,94880,353,0.08265156282777428,0.5274431057563588,0.5274431057563588,0.04405912163864065,0.00747
0.5,HATEFUL_CONDUCT,0.19,333,3342,95911,414,0.09061224489795919,0.4457831325301205,0.4457831325301205,0.03367152630147199,0.00747
0.5,HATEFUL_CONDUCT,0.2,332,3341,95912,415,0.09038932752518378,0.4444444444444444,0.4444444444444444,0.033661451039263296,0.00747
0.5,HATEFUL_CONDUCT,0.21,332,3339,95914,415,0.09043857259602288,0.4444444444444444,0.4444444444444444,0.0336413005148459,0.00747
0.5,HATEFUL_CONDUCT,0.22,332,3338,95915,415,0.09046321525885559,0.4444444444444444,0.4444444444444444,0.0336312252526372,0.00747
0.5,HATEFUL_CONDUCT,0.23,332,3338,95915,415,0.09046321525885559,0.4444444444444444,0.4444444444444444,0.0336312252526372,0.00747
0.5,HATEFUL_CONDUCT,0.24,332,3338,95915,415,0.09046321525885559,0.4444444444444444,0.4444444444444444,0.0336312252526372,0.00747
0.5,HATEFUL_CONDUCT,0.25,332,3335,95918,415,0.09053722388873739,0.4444444444444444,0.4444444444444444,0.033600999466011104,0.00747
0.5,HATEFUL_CONDUCT,0.26,332,3334,95919,415,0.09056192034915439,0.4444444444444444,0.4444444444444444,0.03359092420380241,0.00747
0.5,HATEFUL_CONDUCT,0.27,332,3334,95919,415,0.09056192034915439,0.4444444444444444,0.4444444444444444,0.03359092420380241,0.00747
0.5,HATEFUL_CONDUCT,0.28,332,3332,95921,415,0.0906113537117904,0.4444444444444444,0.4444444444444444,0.033570773679385005,0.00747
0.5,HATEFUL_CONDUCT,0.29,332,3332,95921,415,0.0906113537117904,0.4444444444444444,0.4444444444444444,0.033570773679385005,0.00747
0.5,HATEFUL_CONDUCT,0.3,332,3332,95921,415,0.0906113537117904,0.4444444444444444,0.4444444444444444,0.033570773679385005,0.00747
0.5,HATEFUL_CONDUCT,0.31,295,2775,96478,452,0.09609120521172639,0.3949129852744311,0.3949129852744311,0.027958852629139674,0.00747
0.5,HATEFUL_CONDUCT,0.32,295,2765,96488,452,0.09640522875816994,0.3949129852744311,0.3949129852744311,0.027858100007052685,0.00747
0.5,HATEFUL_CONDUCT,0.33,284,2588,96665,463,0.0988857938718663,0.38018741633199465,0.38018741633199465,0.026074778596112964,0.00747
0.5,HATEFUL_CONDUCT,0.34,284,2587,96666,463,0.09892023685127134,0.38018741633199465,0.38018741633199465,0.026064703333904263,0.00747
0.5,HATEFUL_CONDUCT,0.35,284,2587,96666,463,0.09892023685127134,0.38018741633199465,0.38018741633199465,0.026064703333904263,0.00747
0.5,HATEFUL_CONDUCT,0.36,238,2067,97186,509,0.10325379609544469,0.31860776439089694,0.31860776439089694,0.020825566985380795,0.00747
0.5,HATEFUL_CONDUCT,0.37,238,2032,97221,509,0.10484581497797357,0.31860776439089694,0.31860776439089694,0.02047293280807633,0.00747
0.5,HATEFUL_CONDUCT,0.38,238,2032,97221,509,0.10484581497797357,0.31860776439089694,0.31860776439089694,0.02047293280807633,0.00747
0.5,HATEFUL_CONDUCT,0.39,216,1760,97493,531,0.10931174089068826,0.2891566265060241,0.2891566265060241,0.017732461487310208,0.00747
0.5,HATEFUL_CONDUCT,0.4,216,1760,97493,531,0.10931174089068826,0.2891566265060241,0.2891566265060241,0.017732461487310208,0.00747
0.5,HATEFUL_CONDUCT,0.41,216,1760,97493,531,0.10931174089068826,0.2891566265060241,0.2891566265060241,0.017732461487310208,0.00747
0.5,HATEFUL_CONDUCT,0.42,214,1708,97545,533,0.1113423517169615,0.28647925033467203,0.28647925033467203,0.01720854785245786,0.00747
0.5,HATEFUL_CONDUCT,0.43,214,1707,97546,533,0.11140031233732431,0.28647925033467203,0.28647925033467203,0.01719847259024916,0.00747
0.5,HATEFUL_CONDUCT,0.44,204,1543,97710,543,0.11677160847166572,0.27309236947791166,0.27309236947791166,0.015546129588022529,0.00747
0.5,HATEFUL_CONDUCT,0.45,187,1348,97905,560,0.12182410423452769,0.250334672021419,0.250334672021419,0.013581453457326228,0.00747
0.5,HATEFUL_CONDUCT,0.46,187,1348,97905,560,0.12182410423452769,0.250334672021419,0.250334672021419,0.013581453457326228,0.00747
0.5,HATEFUL_CONDUCT,0.47,187,1348,97905,560,0.12182410423452769,0.250334672021419,0.250334672021419,0.013581453457326228,0.00747
0.5,HATEFUL_CONDUCT,0.48,187,1348,97905,560,0.12182410423452769,0.250334672021419,0.250334672021419,0.013581453457326228,0.00747
0.5,HATEFUL_CONDUCT,0.49,187,1342,97911,560,0.1223021582733813,0.250334672021419,0.250334672021419,0.013521001884074032,0.00747
0.5,HATEFUL_CONDUCT,0.5,187,1342,97911,560,0.1223021582733813,0.250334672021419,0.250334672021419,0.013521001884074032,0.00747
0.5,HATEFUL_CONDUCT,0.51,187,1339,97914,560,0.12254259501965924,0.250334672021419,0.250334672021419,0.013490776097447936,0.00747
0.5,HATEFUL_CONDUCT,0.52,187,1339,97914,560,0.12254259501965924,0.250334672021419,0.250334672021419,0.013490776097447936,0.00747
0.5,HATEFUL_CONDUCT,0.53,187,1335,97918,560,0.1228646517739816,0.250334672021419,0.250334672021419,0.01345047504861314,0.00747
0.5,HATEFUL_CONDUCT,0.54,187,1335,97918,560,0.1228646517739816,0.250334672021419,0.250334672021419,0.01345047504861314,0.00747
0.5,HATEFUL_CONDUCT,0.55,187,1335,97918,560,0.1228646517739816,0.250334672021419,0.250334672021419,0.01345047504861314,0.00747
0.5,HATEFUL_CONDUCT,0.56,187,1335,97918,560,0.1228646517739816,0.250334672021419,0.250334672021419,0.01345047504861314,0.00747
0.5,HATEFUL_CONDUCT,0.57,158,1027,98226,589,0.13333333333333333,0.21151271753681392,0.21151271753681392,0.010347294288333853,0.00747
0.5,HATEFUL_CONDUCT,0.58,131,788,98465,616,0.1425462459194777,0.1753681392235609,0.1753681392235609,0.007939306620454797,0.00747
0.5,HATEFUL_CONDUCT,0.59,131,788,98465,616,0.1425462459194777,0.1753681392235609,0.1753681392235609,0.007939306620454797,0.00747
0.5,HATEFUL_CONDUCT,0.6,131,788,98465,616,0.1425462459194777,0.1753681392235609,0.1753681392235609,0.007939306620454797,0.00747
0.5,HATEFUL_CONDUCT,0.61,131,788,98465,616,0.1425462459194777,0.1753681392235609,0.1753681392235609,0.007939306620454797,0.00747
0.5,HATEFUL_CONDUCT,0.62,131,788,98465,616,0.1425462459194777,0.1753681392235609,0.1753681392235609,0.007939306620454797,0.00747
0.5,HATEFUL_CONDUCT,0.63,131,788,98465,616,0.1425462459194777,0.1753681392235609,0.1753681392235609,0.007939306620454797,0.00747
