app,policy_area,tau,TP,FP,FN,TN,TP_meta3,FP_meta3,FN_meta3,TN_meta3,volume_scenario,posts_per_day,scenario_s_fp,scenario_s_fn,cost_fp_1,cost_fp_2,cost_fn_1,eur_per_FP,eur_per_FN,direct_fp_cost,direct_fn_cost,indirect_fp_cost,indirect_fn_cost,fp_cost_total,fn_cost_total,ecm_total_cost
Facebook,All Policies,0.01,8606,80612,460,210322,7858,44406,263,47473,high,3695700000.0,0.06,0.03,0.13051034724224214,0.03537800694594007,0.03810843478260869,0.0156051492166816,0.0,13372.592007817744,17.52988,692.9622561159631,0.0,14065.554263933707,17.52988,14083.084143933707
Facebook,All Policies,0.01,8606,80612,460,210322,7858,44406,263,47473,high,3695700000.0,0.06,0.075,0.13051034724224214,0.03537800694594007,0.03810843478260869,0.0156051492166816,0.0,13372.592007817744,17.52988,692.9622561159631,0.0,14065.554263933707,17.52988,14083.084143933707
Facebook,All Policies,0.01,8606,80612,460,210322,7858,44406,263,47473,high,3695700000.0,0.06,0.5,0.13051034724224214,0.03537800694594007,0.03810843478260869,0.0156051492166816,0.0,13372.592007817744,17.52988,692.9622561159631,0.0,14065.554263933707,17.52988,14083.084143933707
Facebook,All Policies,0.01,8606,80612,460,210322,7858,44406,263,47473,high,3695700000.0,0.12,0.01,0.13051034724224214,0.03537800694594007,0.03810843478260869,0.0312102984333633,0.0,13372.592007817744,17.52988,1385.9245122319307,0.0,14758.516520049674,17.52988,14776.046400049674
Facebook,All Policies,0.01,8606,80612,460,210322,7858,44406,263,47473,high,3695700000.0,0.12,0.03,0.13051034724224214,0.03537800694594007,0.03810843478260869,0.0312102984333633,0.0,13372.592007817744,17.52988,1385.9245122319307,0.0,14758.516520049674,17.52988,14776.046400049674
Facebook,All Policies,0.01,8606,80612,460,210322,7858,44406,263,47473,high,3695700000.0,0.12,0.075,0.13051034724224214,0.03537800694594007,0.03810843478260869,0.0312102984333633,0.0,13372.592007817744,17.52988,1385.9245122319307,0.0,14758.516520049674,17.52988,14776.046400049674
Facebook,All Policies,0.01,8606,80612,460,210322,7858,44406,263,47473,high,3695700000.0,0.12,0.5,0.13051034724224214,0.03537800694594007,0.03810843478260869,0.0312102984333633,0.0,13372.592007817744,17.52988,1385.9245122319307,0.0,14758.516520049674,17.52988,14776.046400049674
Facebook,All Policies,0.01,8606,80612,460,210322,7858,44406,263,47473,high,3695700000.0,0.27,0.01,0.13051034724224214,0.03537800694594007,0.03810843478260869,0.0702231714750674,0.0,13372.592007817744,17.52988,3118.330152521843,0.0,16490.922160339585,17.52988,16508.452040339584
Facebook,All Policies,0.01,8606,80612,460,210322,7858,44406,263,47473,high,3695700000.0,0.27,0.03,0.13051034724224214,0.03537800694594007,0.03810843478260869,0.0702231714750674,0.0,13372.592007817744,17.52988,3118.330152521843,0.0,16490.922160339585,17.52988,16508.452040339584
Facebook,All Policies,0.01,8606,80612,460,210322,7858,44406,263,47473,high,3695700000.0,0.27,0.075,0.13051034724224214,0.03537800694594007,0.03810843478260869,0.0702231714750674,0.0,13372.592007817744,17.52988,3118.330152521843,0.0,16490.922160339585,17.52988,16508.452040339584
